Miltenberg;9355;49,7039;9,2644
Wunsiedel;9259;50,0374;11,9994
Herzberg;9027;51,6831;13,2331
Plön;8914;54,1622;10,4214
Schleiz;8854;50,5833;11,8167
Tirschenreuth;8707;49,8789;12,3369
Beeskow;8042;52,1667;14,25
Daun;7974;50,1986;6,8319
Simmern;7950;49,9833;7,5167
Kirchheimbolanden;7802;49,6664;8,0117
Freyung;7166;48,8075;13,5475
Birkenfeld;6984;49,65;7,1833
Altenkirchen;6263;50,6872;7,6456
Neustadt;5727;49,7306;12,1706
Seelow;5426;52,5167;14,3831
Kusel;5405;49,5347;7,3981
Cochem;5312;50,1469;7,1667
Offenbach;;50,1006;8,7665
Frankenthal;;49,5436;8,3639
Weiden;;49,6768;12,1561
Nienburg;;52,6461;9,2208
Verden;;52,9234;9,2349
Köthen;;51,7518;11,9709
Rotenburg;;53,1113;9,4108
Karlstadt;;49,9603;9,7724
Neustadt;;49,5656;8,8437
Homberg;;51,0299;9,4026
Garmisch-Partenkirchen;;47,4921;11,0958
